id,tenant_name,merchant_id,field_domain_type,deepdraw_field,source_type,source_table,source_field,default_value,blocking,enabled,notes,updated_at
1,电商巴拉巴拉,1162,通用字段,产品分类,launch_plan,上市计划表,官方发布类目,,False,True,MDM导入的有错，不准确，后续需要人工检查--影响不大,2026-06-29T04:26:42.941Z
2,电商巴拉巴拉,1162,通用字段,兼容平台,fixed,固定,,1688、天猫、京东、唯品会、有赞、拼多多、小红书、抖音、快手、微信视频小店,False,True,1688、天猫、京东、唯品会、有赞、拼多多、小红书、抖音、快手、微信视频小店,2026-06-29T04:26:42.941Z
3,电商巴拉巴拉,1162,通用字段,选择期数,mdm,对应日期,对应日期,,False,True,已经从MDM导入,2026-06-29T04:26:42.941Z
4,电商巴拉巴拉,1162,通用字段,货号,launch_plan,上市计划表,款号,,False,True,,2026-06-29T04:26:42.941Z
5,电商巴拉巴拉,1162,通用字段,产品标题,copywriting,文案表,搜索标题,,False,True,上市计划表也在云盘--不同sheet--需要人工复制黏贴，按款。用于上新，货号、类目、标题,2026-06-29T04:26:42.941Z
6,电商巴拉巴拉,1162,通用字段,价格,launch_plan,上市计划表,吊牌价格,,False,True,,2026-06-29T04:26:42.941Z
7,电商巴拉巴拉,1162,通用字段,颜色,launch_plan,上市计划表,颜色,,False,True,,2026-06-29T04:26:42.941Z
8,电商巴拉巴拉,1162,通用字段,尺码,launch_plan,上市计划表,尺码,,False,True,,2026-06-29T04:26:42.941Z
9,电商巴拉巴拉,1162,通用字段,尺码表,manual,制单,,,False,True,身高体重是固定的、鞋品用的通用鞋品尺码表---MDM开发中没有开发好,2026-06-29T04:26:42.941Z
10,电商巴拉巴拉,1162,通用字段,多平台尺码,manual,根据平台需求,,,False,True,需要做一张表目前没有可直接提取的,2026-06-29T04:26:42.941Z
11,电商巴拉巴拉,1162,通用字段,唯品会尺码表,manual,制单,,,False,True,适合年龄固定,2026-06-29T04:26:42.941Z
12,电商巴拉巴拉,1162,通用字段,抖音尺码表,fixed,固定,,只需要填身高体重,False,True,,2026-06-29T04:26:42.941Z
13,电商巴拉巴拉,1162,通用字段,天猫尺码表,skip,不填,,,False,True,可不填、,2026-06-29T04:26:42.941Z
14,电商巴拉巴拉,1162,通用字段,商家SKU,launch_plan,上市计划表,SKU,,False,True,,2026-06-29T04:26:42.941Z
15,电商巴拉巴拉,1162,通用字段,详情页标题,skip,不填,,,False,True,不填,2026-06-29T04:26:42.941Z
16,电商巴拉巴拉,1162,通用字段,抖音参考价,launch_plan,上市计划表,吊牌价格,,False,True,,2026-06-29T04:26:42.941Z
17,电商巴拉巴拉,1162,通用字段,抖音参考价格类型,fixed,固定,,吊牌价,False,True,,2026-06-29T04:26:42.941Z
18,电商巴拉巴拉,1162,通用字段,商家编码,launch_plan,上市计划表,款号,,False,True,,2026-06-29T04:26:42.941Z
19,电商巴拉巴拉,1162,通用字段,商家条形码,skip,不填,,,False,True,不填,2026-06-29T04:26:42.941Z
20,电商巴拉巴拉,1162,通用字段,尺寸推荐表,fixed,固定,,禁用,False,True,禁用,2026-06-29T04:26:42.941Z
21,电商巴拉巴拉,1162,通用字段,试穿报告表,fixed,固定,,禁用,False,True,禁用,2026-06-29T04:26:42.941Z
22,电商巴拉巴拉,1162,通用字段,详情页面料,copywriting,文案表,面料成分,,False,True,,2026-06-29T04:26:42.941Z
23,电商巴拉巴拉,1162,通用字段,面料(多选),copywriting,文案表,面料成分,,False,True,,2026-06-29T04:26:42.941Z
24,电商巴拉巴拉,1162,通用字段,模特实拍,manual,,,,False,True,"机器人做不了的
[2026-08-20] blocking=false: required/blocking follows deepdraw_trade_field_cache template; mapping rule only controls source/default/AI suggestion.",2026-08-20T06:47:00.262Z
25,电商巴拉巴拉,1162,通用字段,是否商场同款,launch_plan,上市计划表,线上款为非商场同款，全域款为商场同款,,False,True,根据货品属性判断,2026-06-29T04:26:42.941Z
26,电商巴拉巴拉,1162,通用字段,材质成分,copywriting,文案表,面料成分,,False,True,,2026-06-29T04:26:42.941Z
27,电商巴拉巴拉,1162,通用字段,面料,copywriting,文案表,面料成分,,False,True,要填，吊牌洗唛,2026-06-29T04:26:42.941Z
28,电商巴拉巴拉,1162,通用字段,成分及含量,skip,不填,,,False,True,,2026-06-29T04:26:42.941Z
29,电商巴拉巴拉,1162,通用字段,材质,copywriting,文案表,面料成分,,False,True,,2026-06-29T04:26:42.941Z
30,电商巴拉巴拉,1162,通用字段,里料,skip,不填,,,False,True,,2026-06-29T04:26:42.941Z
31,电商巴拉巴拉,1162,通用字段,填充物种类,manual,,,,False,True,[2026-08-20] blocking=false: required/blocking follows deepdraw_trade_field_cache template; mapping rule only controls source/default/AI suggestion.,2026-08-20T06:47:00.262Z
